Original Name,User-Friendly Name,Table
timestep,Timestep,simulation_data
date,Date,simulation_data
run,Run,simulation_data
te_total_supply,Te Total Supply,simulation_data
te_circulating_supply,Te Circulating Supply,simulation_data
te_unvested_supply,Te Unvested Supply,simulation_data
te_holding_supply,Te Holding Supply,simulation_data
te_MC,Te Mc,simulation_data
te_FDV_MC,Te Fdv Mc,simulation_data
te_selling_perc,Te Selling Perc,simulation_data
te_utility_perc,Te Utility Perc,simulation_data
te_holding_perc,Te Holding Perc,simulation_data
te_remove_perc,Te Remove Perc,simulation_data
te_selling_allocation,Te Selling Allocation,simulation_data
te_utility_allocation,Te Utility Allocation,simulation_data
te_holding_allocation,Te Holding Allocation,simulation_data
te_selling_allocation_cum,Te Selling Allocation Cum,simulation_data
te_utility_allocation_cum,Te Utility Allocation Cum,simulation_data
te_holding_allocation_cum,Te Holding Allocation Cum,simulation_data
te_tokens_vested_cum,Te Tokens Vested Cum,simulation_data
te_tokens_burned,Te Tokens Burned,simulation_data
te_tokens_burned_cum,Te Tokens Burned Cum,simulation_data
te_tokens_burned_usd,Te Tokens Burned Usd,simulation_data
te_minted_tokens,Te Minted Tokens,simulation_data
te_minted_tokens_cum,Te Minted Tokens Cum,simulation_data
te_minted_tokens_usd,Te Minted Tokens Usd,simulation_data
te_incentivised_tokens,Te Incentivised Tokens,simulation_data
te_incentivised_tokens_usd,Te Incentivised Tokens Usd,simulation_data
te_incentivised_tokens_cum,Te Incentivised Tokens Cum,simulation_data
te_airdrop_tokens,Te Airdrop Tokens,simulation_data
te_airdrop_tokens_usd,Te Airdrop Tokens Usd,simulation_data
te_airdrop_tokens_cum,Te Airdrop Tokens Cum,simulation_data
lp_tokens,Lp Tokens,simulation_data
lp_usdc,Lp Usdc,simulation_data
lp_constant_product,Lp Constant Product,simulation_data
lp_token_price,Lp Token Price,simulation_data
lp_valuation,Lp Valuation,simulation_data
lp_volatility,Lp Volatility,simulation_data
lp_token_price_max,Lp Token Price Max,simulation_data
lp_token_price_min,Lp Token Price Min,simulation_data
lp_tokens_after_adoption,Lp Tokens After Adoption,simulation_data
lp_tokens_after_liquidity_addition,Lp Tokens After Liquidity Addition,simulation_data
lp_tokens_after_buyback,Lp Tokens After Buyback,simulation_data
angle_agents,Angle Agents,simulation_data
angle_a_name,Angle A Name,simulation_data
angle_a_type,Angle A Type,simulation_data
angle_a_usd_funds,Angle A Usd Funds,simulation_data
angle_a_tokens,Angle A Tokens,simulation_data
angle_a_tokens_vested,Angle A Tokens Vested,simulation_data
angle_a_tokens_vested_cum,Angle A Tokens Vested Cum,simulation_data
angle_a_tokens_airdropped,Angle A Tokens Airdropped,simulation_data
angle_a_tokens_airdropped_cum,Angle A Tokens Airdropped Cum,simulation_data
angle_a_tokens_incentivised,Angle A Tokens Incentivised,simulation_data
angle_a_tokens_incentivised_cum,Angle A Tokens Incentivised Cum,simulation_data
angle_a_tokens_apr_locked,Angle A Tokens Apr Locked,simulation_data
angle_a_tokens_apr_locked_cum,Angle A Tokens Apr Locked Cum,simulation_data
angle_a_tokens_apr_locked_remove,Angle A Tokens Apr Locked Remove,simulation_data
angle_a_tokens_apr_locked_rewards,Angle A Tokens Apr Locked Rewards,simulation_data
angle_a_tokens_buyback_locked,Angle A Tokens Buyback Locked,simulation_data
angle_a_tokens_buyback_locked_cum,Angle A Tokens Buyback Locked Cum,simulation_data
angle_a_tokens_buyback_locked_remove,Angle A Tokens Buyback Locked Remove,simulation_data
angle_a_tokens_buyback_locked_rewards,Angle A Tokens Buyback Locked Rewards,simulation_data
angle_a_tokens_staking_vesting_locked,Angle A Tokens Staking Vesting Locked,simulation_data
angle_a_tokens_staking_vesting_locked_cum,Angle A Tokens Staking Vesting Locked Cum,simulation_data
angle_a_tokens_staking_vesting_locked_remove,Angle A Tokens Staking Vesting Locked Remove,simulation_data
angle_a_tokens_staking_vesting_locked_rewards,Angle A Tokens Staking Vesting Locked Rewards,simulation_data
angle_a_tokens_liquidity_mining,Angle A Tokens Liquidity Mining,simulation_data
angle_a_tokens_liquidity_mining_cum,Angle A Tokens Liquidity Mining Cum,simulation_data
angle_a_tokens_liquidity_mining_remove,Angle A Tokens Liquidity Mining Remove,simulation_data
angle_a_tokens_liquidity_mining_rewards,Angle A Tokens Liquidity Mining Rewards,simulation_data
angle_a_tokens_transferred,Angle A Tokens Transferred,simulation_data
angle_a_tokens_transferred_cum,Angle A Tokens Transferred Cum,simulation_data
angle_a_tokens_burned,Angle A Tokens Burned,simulation_data
angle_a_tokens_burned_cum,Angle A Tokens Burned Cum,simulation_data
angle_a_selling_tokens,Angle A Selling Tokens,simulation_data
angle_a_utility_tokens,Angle A Utility Tokens,simulation_data
angle_a_holding_tokens,Angle A Holding Tokens,simulation_data
angle_a_selling_from_holding_tokens,Angle A Selling From Holding Tokens,simulation_data
angle_a_utility_from_holding_tokens,Angle A Utility From Holding Tokens,simulation_data
angle_a_holding_from_holding_tokens,Angle A Holding From Holding Tokens,simulation_data
angle_a_actions,Angle A Actions,simulation_data
angle_a_current_action,Angle A Current Action,simulation_data
seed_agents,Seed Agents,simulation_data
seed_a_name,Seed A Name,simulation_data
seed_a_type,Seed A Type,simulation_data
seed_a_usd_funds,Seed A Usd Funds,simulation_data
seed_a_tokens,Seed A Tokens,simulation_data
seed_a_tokens_vested,Seed A Tokens Vested,simulation_data
seed_a_tokens_vested_cum,Seed A Tokens Vested Cum,simulation_data
seed_a_tokens_airdropped,Seed A Tokens Airdropped,simulation_data
seed_a_tokens_airdropped_cum,Seed A Tokens Airdropped Cum,simulation_data
seed_a_tokens_incentivised,Seed A Tokens Incentivised,simulation_data
seed_a_tokens_incentivised_cum,Seed A Tokens Incentivised Cum,simulation_data
seed_a_tokens_apr_locked,Seed A Tokens Apr Locked,simulation_data
seed_a_tokens_apr_locked_cum,Seed A Tokens Apr Locked Cum,simulation_data
seed_a_tokens_apr_locked_remove,Seed A Tokens Apr Locked Remove,simulation_data
seed_a_tokens_apr_locked_rewards,Seed A Tokens Apr Locked Rewards,simulation_data
seed_a_tokens_buyback_locked,Seed A Tokens Buyback Locked,simulation_data
seed_a_tokens_buyback_locked_cum,Seed A Tokens Buyback Locked Cum,simulation_data
seed_a_tokens_buyback_locked_remove,Seed A Tokens Buyback Locked Remove,simulation_data
seed_a_tokens_buyback_locked_rewards,Seed A Tokens Buyback Locked Rewards,simulation_data
seed_a_tokens_staking_vesting_locked,Seed A Tokens Staking Vesting Locked,simulation_data
seed_a_tokens_staking_vesting_locked_cum,Seed A Tokens Staking Vesting Locked Cum,simulation_data
seed_a_tokens_staking_vesting_locked_remove,Seed A Tokens Staking Vesting Locked Remove,simulation_data
seed_a_tokens_staking_vesting_locked_rewards,Seed A Tokens Staking Vesting Locked Rewards,simulation_data
seed_a_tokens_liquidity_mining,Seed A Tokens Liquidity Mining,simulation_data
seed_a_tokens_liquidity_mining_cum,Seed A Tokens Liquidity Mining Cum,simulation_data
seed_a_tokens_liquidity_mining_remove,Seed A Tokens Liquidity Mining Remove,simulation_data
seed_a_tokens_liquidity_mining_rewards,Seed A Tokens Liquidity Mining Rewards,simulation_data
seed_a_tokens_transferred,Seed A Tokens Transferred,simulation_data
seed_a_tokens_transferred_cum,Seed A Tokens Transferred Cum,simulation_data
seed_a_tokens_burned,Seed A Tokens Burned,simulation_data
seed_a_tokens_burned_cum,Seed A Tokens Burned Cum,simulation_data
seed_a_selling_tokens,Seed A Selling Tokens,simulation_data
seed_a_utility_tokens,Seed A Utility Tokens,simulation_data
seed_a_holding_tokens,Seed A Holding Tokens,simulation_data
seed_a_selling_from_holding_tokens,Seed A Selling From Holding Tokens,simulation_data
