Original Name,User-Friendly Name
timestep,Timestep
date,Date
run,Run
te_total_supply,Te Total Supply
te_circulating_supply,Te Circulating Supply
te_unvested_supply,Te Unvested Supply
te_holding_supply,Te Holding Supply
te_MC,Te Mc
te_FDV_MC,Te Fdv Mc
te_selling_perc,Te Selling Perc
te_utility_perc,Te Utility Perc
te_holding_perc,Te Holding Perc
te_remove_perc,Te Remove Perc
te_selling_allocation,Te Selling Allocation
te_utility_allocation,Te Utility Allocation
te_holding_allocation,Te Holding Allocation
te_selling_allocation_cum,Te Selling Allocation Cum
te_utility_allocation_cum,Te Utility Allocation Cum
te_holding_allocation_cum,Te Holding Allocation Cum
te_tokens_vested_cum,Te Tokens Vested Cum
te_tokens_burned,Te Tokens Burned
te_tokens_burned_cum,Te Tokens Burned Cum
te_tokens_burned_usd,Te Tokens Burned Usd
te_minted_tokens,Te Minted Tokens
te_minted_tokens_cum,Te Minted Tokens Cum
te_minted_tokens_usd,Te Minted Tokens Usd
te_incentivised_tokens,Te Incentivised Tokens
te_incentivised_tokens_usd,Te Incentivised Tokens Usd
te_incentivised_tokens_cum,Te Incentivised Tokens Cum
te_airdrop_tokens,Te Airdrop Tokens
te_airdrop_tokens_usd,Te Airdrop Tokens Usd
te_airdrop_tokens_cum,Te Airdrop Tokens Cum
lp_tokens,Lp Tokens
lp_usdc,Lp Usdc
lp_constant_product,Lp Constant Product
lp_token_price,Lp Token Price
lp_valuation,Lp Valuation
lp_volatility,Lp Volatility
lp_token_price_max,Lp Token Price Max
lp_token_price_min,Lp Token Price Min
lp_tokens_after_adoption,Lp Tokens After Adoption
lp_tokens_after_liquidity_addition,Lp Tokens After Liquidity Addition
lp_tokens_after_buyback,Lp Tokens After Buyback
angle_agents,Angle Agents
angle_a_name,Angle A Name
angle_a_type,Angle A Type
angle_a_usd_funds,Angle A Usd Funds
angle_a_tokens,Angle A Tokens
angle_a_tokens_vested,Angle A Tokens Vested
angle_a_tokens_vested_cum,Angle A Tokens Vested Cum
angle_a_tokens_airdropped,Angle A Tokens Airdropped
angle_a_tokens_airdropped_cum,Angle A Tokens Airdropped Cum
angle_a_tokens_incentivised,Angle A Tokens Incentivised
angle_a_tokens_incentivised_cum,Angle A Tokens Incentivised Cum
angle_a_tokens_apr_locked,Angle A Tokens Apr Locked
angle_a_tokens_apr_locked_cum,Angle A Tokens Apr Locked Cum
angle_a_tokens_apr_locked_remove,Angle A Tokens Apr Locked Remove
angle_a_tokens_apr_locked_rewards,Angle A Tokens Apr Locked Rewards
angle_a_tokens_buyback_locked,Angle A Tokens Buyback Locked
angle_a_tokens_buyback_locked_cum,Angle A Tokens Buyback Locked Cum
angle_a_tokens_buyback_locked_remove,Angle A Tokens Buyback Locked Remove
angle_a_tokens_buyback_locked_rewards,Angle A Tokens Buyback Locked Rewards
angle_a_tokens_staking_vesting_locked,Angle A Tokens Staking Vesting Locked
angle_a_tokens_staking_vesting_locked_cum,Angle A Tokens Staking Vesting Locked Cum
angle_a_tokens_staking_vesting_locked_remove,Angle A Tokens Staking Vesting Locked Remove
angle_a_tokens_staking_vesting_locked_rewards,Angle A Tokens Staking Vesting Locked Rewards
angle_a_tokens_liquidity_mining,Angle A Tokens Liquidity Mining
angle_a_tokens_liquidity_mining_cum,Angle A Tokens Liquidity Mining Cum
angle_a_tokens_liquidity_mining_remove,Angle A Tokens Liquidity Mining Remove
angle_a_tokens_liquidity_mining_rewards,Angle A Tokens Liquidity Mining Rewards
angle_a_tokens_transferred,Angle A Tokens Transferred
angle_a_tokens_transferred_cum,Angle A Tokens Transferred Cum
angle_a_tokens_burned,Angle A Tokens Burned
angle_a_tokens_burned_cum,Angle A Tokens Burned Cum
