,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,01/24,02/24,03/24,04/24,05/24,06/24,07/24,08/24,09/24,10/24,11/24,12/24,01/25,02/25,03/25,04/25,05/25,06/25,07/25,08/25,09/25,10/25,11/25,12/25,01/26,02/26,03/26,04/26,05/26,06/26,07/26,08/26,09/26,10/26,11/26,12/26,01/27,02/27,03/27,04/27,05/27,06/27,07/27,08/27,09/27,10/27,11/27,12/27,01/28,02/28,03/28,04/28,05/28,06/28,07/28,08/28,09/28,10/28,11/28,12/28,01/29,02/29,03/29,04/29,05/29,06/29,07/29,08/29,09/29,10/29,11/29,12/29,01/30,02/30,03/30,04/30,05/30,06/30,07/30,08/30,09/30,10/30,11/30,12/30,01/31,02/31,03/31,04/31,05/31,06/31,07/31,08/31,09/31,10/31,11/31,12/31,01/32,02/32,03/32,04/32,05/32,06/32,07/32,08/32,09/32,10/32,11/32,12/32,01/33,02/33,03/33,04/33,05/33,06/33,07/33,08/33,09/33,10/33,11/33,12/33,01/34
,Adoption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony/Achim,Product Users,748,1217,1722,2214,2727,3226,3746,4271,4783,5316,5836,6379,6927,7426,7984,8528,9097,9653,10233,10819,11392,11990,12575,13185,13802,14365,14994,15609,16250,16877,17531,18191,18836,19507,20162,20844,21531,22155,22849,23525,24226,24907,25612,26319,27003,27710,28393,29097,29798,30451,31145,31811,32493,33147,33814,34472,35099,35737,36344,36958,37559,38090,38664,39205,39749,40260,40772,41267,41730,42191,42621,43048,43458,43813,44190,44538,44882,45198,45510,45805,46077,46343,46586,46824,47049,47240,47441,47623,47800,47961,48117,48264,48396,48525,48641,48753,48858,48949,49041,49124,49203,49275,49344,49409,49467,49523,49573,49622,49667,49705,49745,49780,49815,49846,49876,49905,49930,49955,49978,50000,
Anthony/Achim,Token Holders,346,437,535,630,729,826,927,1028,1128,1231,1332,1438,1544,1641,1750,1856,1967,2075,2188,2303,2414,2531,2646,2765,2886,2996,3119,3239,3365,3488,3616,3746,3872,4004,4133,4267,4402,4524,4661,4794,4932,5066,5205,5344,5479,5618,5753,5891,6030,6158,6295,6427,6561,6690,6821,6951,7075,7201,7320,7442,7560,7665,7778,7885,7992,8093,8193,8291,8382,8473,8558,8642,8722,8792,8866,8935,9002,9064,9125,9183,9237,9289,9336,9383,9427,9464,9503,9539,9573,9605,9635,9664,9689,9714,9737,9759,9779,9797,9814,9830,9846,9860,9873,9885,9896,9907,9917,9926,9935,9942,9950,9957,9964,9970,9976,9981,9986,9991,9996,10000,
,Vesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vesting Series / Token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achim,Early Backers / Angels,0,0,0,0,0,0,"115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741","115,741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
