Parameter,Parameter Name,Initial Value,Min,Max,Interval Steps,Unit,Comment
Initial Total Supply of Tokens,initial_total_supply,"100,000,000",,,,,
Launch Date / dd.mm.yyyy,launch_date,1.1.2024,,,,,
% Public Sale of Supply (up to),public_sale_supply_perc,3.50%,,,,,
Public Sale Valuation / $,public_sale_valuation,"40,000,000",,,,,
Equity Owned by External Shareholders,equity_external_shareholders_perc,10.00%,,,,,
Early Backers / Angels Raised,angel_raised,"250,000",,,,,
Seed Raised,seed_raised,"750,000",,,,,
Pre-Sale 1 Raised,presale_1_raised,"1,500,000",,,,,
Pre-Sale 2 Raised,presale_2_raised,0,,,,,
Public Sale Raised,public_sale_raised,"1,400,000",,,,,
Sum of Raised Capital / $ Raised,raised_capital_sum,"3,900,000",,,,,
Early Backers / Angels Valuation,angel_valuation,"11,250,000",,,,,
Seed Valuation,seed_valuation,"15,000,000",,,,,
Pre-Sale 1 Valuation,presale_1_valuation,"25,000,000",,,,,
Pre-Sale 2 Valuation,presale_2_valuation,"30,000,000",,,,,
Early Backers / Angels Bonus Amount / %,angel_bonus,88.75%,,,,,
Seed Bonus Amount / %,seed_bonus,50.00%,,,,,
Pre-Sale 1 Bonus Amount / %,presale_1_bonus,25.00%,,,,,
Pre-Sale 2 Bonus Amount / %,presale_2_bonus,15.00%,,,,,
Founders / Team Token Allocation,team_allocation,20.00%,,,,,
Outlier Ventures Token Allocation,ov_allocation,6.00%,,,,,
Advisors Token Allocation,advisor_allocation,4.00%,,,,,
Strategic Partners Token Allocation,strategic_partners_allocation,3.00%,,,,,
Reserve Token Allocation,reserve_allocation,12.50%,,,,,
Community Token Allocation,community_allocation,0.00%,,,,,
Foundation Token Allocation,foundation_allocation,0.00%,,,,,
Incentivisation Token Allocation,incentivisation_allocation,15.00%,,,,,
Staking Vesting Token Allocation,staking_vesting_allocation,18.00%,,,,,
Liquidity Pool Token Allocation,liquidity_pool_allocation,2.78%,,,,,
Airdrop Allocation,airdrop_allocation,2.00%,,,,,
Airdrop Date 1,airdrop_date1,1.1.2024,,,,,
Aidrop Amount 1,airdrop_amount1,35.00%,,,,,
Airdrop Date 2,airdrop_date2,1.6.2024,,,,,
Aidrop Amount 2,airdrop_amount2,35.00%,,,,,
Airdrop Date 3,airdrop_date3,1.4.2025,,,,,
Aidrop Amount 3,airdrop_amount3,30.00%,,,,,
Early Backers / Angels Initial Vesting,angel_initial_vesting,0,,,,,
Seed Initial Vesting,seed_initial_vesting,0,,,,,
Pre-Sale 1 Initial Vesting,presale_1_initial_vesting,0,,,,,
Pre-Sale 2 Initial Vesting,presale_2_initial_vesting,0,,,,,
Public Sale Initial Vesting,public_sale_initial_vesting,25,,,,,
Founders / Team Initial Vesting,team_initial_vesting,0,,,,,
Outlier Ventures Initial Vesting,ov_initial_vesting,0,,,,,
Advisors Initial Vesting,advisor_initial_vesting,0,,,,,
Strategic Partners Initial Vesting,strategic_partners_initial_vesting,100,,,,,
Reserve Initial Vesting,reserve_initial_vesting,100,,,,,
Community Initial Vesting,community_initial_vesting,0,,,,,
Foundation Initial Vesting,foundation_initial_vesting,0,,,,,
Incentivisation Initial Vesting,incentivisation_initial_vesting,0.5,,,,,
Staking Vesting Initial Vesting,staking_vesting_initial_vesting,5,,,,,
Liquidity Pool Initial Vesting,liquidity_pool_initial_vesting,100,,,,,
Early Backers / Angels Cliff Months,angel_cliff,6,,,,,
Seed Cliff Months,seed_cliff,6,,,,,
Pre-Sale 1 Cliff Months,presale_1_cliff,6,,,,,
Pre-Sale 2 Cliff Months,presale_2_cliff,1,,,,,
Public Sale Cliff Months,public_sale_cliff,0,,,,,
Founders / Team Cliff Months,team_cliff,6,,,,,
Outlier Ventures Cliff Months,ov_cliff,6,,,,,
Advisors Cliff Months,advisor_cliff,6,,,,,
Strategic Partners Cliff Months,strategic_partners_cliff,0,,,,,
