"play","step","Distance / 8","Coins / 9","Player Crashes / 10","Difficulty Factor / 11"
"1","0","0","0","0"
"1","1","5","0","0"
"1","2","10","1","1"
"1","3","15","2","1"
"1","4","20","3","2"
"1","5","25","4","2"
"1","6","30","5","3"
"1","7","35","6","3"
"1","8","40","7","4"
"1","9","45","8","4"
"1","10","50","9","5"
"1","11","55","11","5"
"1","12","60","13","6"
"1","13","65","15","6"
"1","14","70","17","7"
"1","15","75","19","7"
"1","16","80","21","8"
"2","0","0","0","0","0"
"2","1","5","0","0","0"
"2","2","10","1","0","1"
"2","3","15","2","0","1"
"111","0","0","0","0","0"
"111","1","5","0","0","0"
"111","2","10","1","0","1"
"111","3","15","2","0","1"
"111","4","20","3","0","2"
"111","5","25","4","0","2"
"111","6","30","5","0","3"
"111","7","35","6","0","3"
"111","8","40","7","0","4"
"111","9","45","8","0","4"
"111","10","50","9","0","5"
"111","11","55","11","0","5"
"111","12","60","13","0","6"
"111","13","65","15","1","6"
"112","0","0","0","0","0"
"112","1","5","0","0","0"
"112","2","10","1","0","1"
"112","3","15","2","0","1"
"112","4","20","3","0","2"
"112","5","25","4","0","2"
"112","6","30","5","0","3"
"112","7","35","6","0","3"
"112","8","40","7","0","4"
"112","9","45","8","0","4"
"112","10","50","9","0","5"
"112","11","55","11","0","5"
"112","12","60","13","0","6"
"112","13","65","15","0","6"
"112","14","70","17","0","7"
"112","15","75","19","0","7"
"112","16","80","21","0","8"
"112","17","85","23","1","8"
"113","0","0","0","0","0"
"113","1","5","0","0","0"
"113","2","10","1","0","1"
"113","3","15","2","0","1"
"113","4","20","3","0","2"
"113","5","25","4","0","2"
"113","6","30","5","0","3"
"113","7","35","6","0","3"
"113","8","40","7","0","4"
"113","9","45","8","0","4"
"113","10","50","9","0","5"
"113","11","55","11","0","5"
"113","12","60","13","0","6"
"113","13","65","15","0","6"
"113","14","70","17","0","7"
"113","15","75","19","0","7"
"113","16","80","21","0","8"
"113","17","85","23","1","8"
"114","0","0","0","0","0"
"114","1","5","0","0","0"
"114","2","10","1","0","1"
"114","3","15","2","0","1"
"114","4","20","3","0","2"
"114","5","25","4","1","2"
"115","0","0","0","0","0"
"115","1","5","0","0","0"
"115","2","10","1","0","1"
"115","3","15","2","0","1"
"115","4","20","3","0","2"
"115","5","25","4","0","2"
"115","6","30","5","0","3"
"115","7","35","6","1","3"
"116","0","0","0","0","0"
"116","1","5","0","0","0"
"116","2","10","1","0","1"
"116","3","15","2","0","1"
"116","4","20","3","0","2"
"116","5","25","4","0","2"
"116","6","30","5","0","3"
"116","7","35","6","0","3"
"116","8","40","7","0","4"
"116","9","45","8","0","4"
"116","10","50","9","0","5"
"116","11","55","11","0","5"
"116","12","60","13","0","6"
"116","13","65","15","1","6"
"117","0","0","0","0","0"
"117","1","5","0","0","0"
"117","2","10","1","0","1"
"117","3","15","2","0","1"
"117","4","20","3","0","2"
"117","5","25","4","0","2"
"117","6","30","5","0","3"
"117","7","35","6","0","3"
"117","8","40","7","0","4"
"117","9","45","8","0","4"
"117","10","50","9","0","5"
"117","11","55","11","1","5"
"118","0","0","0","0","0"
"118","1","5","0","0","0"
"118","2","10","1","0","1"
"118","3","15","2","0","1"
"118","4","20","3","0","2"
"118","5","25","4","0","2"
"118","6","30","5","0","3"
"118","7","35","6","0","3"
"118","8","40","7","1","4"
"119","0","0","0","0","0"
"119","1","5","0","0","0"
"119","2","10","1","0","1"
"119","3","15","2","0","1"
"119","4","20","3","0","2"
"119","5","25","4","0","2"
"119","6","30","5","0","3"
"119","7","35","6","0","3"
"119","8","40","7","0","4"
"119","9","45","8","0","4"
"119","10","50","9","0","5"
"119","11","55","11","0","5"
"119","12","60","13","1","6"
"120","0","0","0","0","0"
"120","1","5","0","0","0"
"120","2","10","1","0","1"
"120","3","15","2","0","1"
"120","4","20","3","0","2"
"120","5","25","4","1","2"
"121","0","0","0","0","0"
"121","1","5","0","0","0"
"121","2","10","1","0","1"
"121","3","15","2","0","1"
"121","4","20","3","0","2"
"121","5","25","4","0","2"
"121","6","30","5","0","3"
"121","7","35","6","0","3"
"121","8","40","7","0","4"
"121","9","45","8","0","4"
"121","10","50","9","0","5"
"121","11","55","11","0","5"
"121","12","60","13","0","6"
"121","13","65","15","0","6"
"121","14","70","17","0","7"
"121","15","75","19","0","7"
"121","16","80","21","0","8"
"121","17","85","23","0","8"
"121","18","90","25","0","9"
"121","19","95","27","0","9"
"121","20","100","29","0","10"
"121","21","105","31","0","10"
"121","22","110","34","1","11"
"122","0","0","0","0","0"
"122","1","5","0","0","0"
"122","2","10","1","0","1"
"122","3","15","2","0","1"
"122","4","20","3","0","2"
"122","5","25","4","0","2"
"122","6","30","5","0","3"
"122","7","35","6","0","3"
"122","8","40","7","1","4"
"123","0","0","0","0","0"
"123","1","5","0","0","0"
"123","2","10","1","0","1"
"123","3","15","2","0","1"
"123","4","20","3","0","2"
"123","5","25","4","0","2"
"123","6","30","5","0","3"
"123","7","35","6","0","3"
"123","8","40","7","0","4"
"123","9","45","8","0","4"
"123","10","50","9","0","5"
"123","11","55","11","0","5"
"123","12","60","13","0","6"
"123","13","65","15","0","6"
"123","14","70","17","0","7"
"123","15","75","19","0","7"
"123","16","80","21","0","8"
"123","17","85","23","0","8"
"123","18","90","25","0","9"
"123","19","95","27","0","9"
"123","20","100","29","1","10"
"124","0","0","0","0","0"
"124","1","5","0","0","0"
"124","2","10","1","0","1"
"124","3","15","2","0","1"
"124","4","20","3","0","2"
"124","5","25","4","1","2"
"125","0","0","0","0","0"
"125","1","5","0","0","0"
"125","2","10","1","0","1"
"125","3","15","2","0","1"
"125","4","20","3","0","2"
"125","5","25","4","0","2"
"125","6","30","5","0","3"
"125","7","35","6","0","3"
"125","8","40","7","0","4"
"125","9","45","8","0","4"
"125","10","50","9","0","5"
"125","11","55","11","0","5"
"125","12","60","13","0","6"
"125","13","65","15","0","6"
"125","14","70","17","0","7"
"125","15","75","19","0","7"
"125","16","80","21","0","8"
"125","17","85","23","1","8"
"126","0","0","0","0","0"
"126","1","5","0","0","0"
"126","2","10","1","0","1"
"126","3","15","2","0","1"
"126","4","20","3","0","2"
"126","5","25","4","0","2"
"126","6","30","5","0","3"
"126","7","35","6","0","3"
"126","8","40","7","0","4"
"126","9","45","8","0","4"
"126","10","50","9","0","5"
"126","11","55","11","0","5"
"126","12","60","13","0","6"
"126","13","65","15","0","6"
"126","14","70","17","0","7"
"126","15","75","19","0","7"
"126","16","80","21","0","8"
"126","17","85","23","1","8"
"127","0","0","0","0","0"
"127","1","5","0","0","0"
"127","2","10","1","0","1"
"127","3","15","2","0","1"
"127","4","20","3","0","2"
"127","5","25","4","0","2"
"127","6","30","5","0","3"
"127","7","35","6","0","3"
"127","8","40","7","0","4"
"127","9","45","8","0","4"
"127","10","50","9","0","5"
"127","11","55","11","0","5"
"127","12","60","13","0","6"
"127","13","65","15","0","6"
"127","14","70","17","0","7"
"127","15","75","19","1","7"
"128","0","0","0","0","0"
"128","1","5","0","0","0"
"128","2","10","1","0","1"
"128","3","15","2","0","1"
"128","4","20","3","0","2"
"128","5","25","4","0","2"
"128","6","30","5","0","3"
"128","7","35","6","0","3"
"128","8","40","7","0","4"
"128","9","45","8","0","4"
"128","10","50","9","0","5"
"128","11","55","11","1","5"
"129","0","0","0","0","0"
"129","1","5","0","0","0"
"129","2","10","1","0","1"
"129","3","15","2","0","1"
"129","4","20","3","0","2"
"129","5","25","4","0","2"
"129","6","30","5","0","3"
"129","7","35","6","0","3"
"129","8","40","7","1","4"
"130","0","0","0","0","0"
"130","1","5","0","0","0"
"130","2","10","1","0","1"
"130","3","15","2","0","1"
"130","4","20","3","0","2"
"130","5","25","4","1","2"
"131","0","0","0","0","0"
"131","1","5","0","0","0"
"131","2","10","1","0","1"
"131","3","15","2","0","1"
"131","4","20","3","0","2"
"131","5","25","4","0","2"
"131","6","30","5","1","3"
"132","0","0","0","0","0"
"132","1","5","0","0","0"
"132","2","10","1","0","1"
"132","3","15","2","0","1"
"132","4","20","3","0","2"
"132","5","25","4","1","2"
"133","0","0","0","0","0"
"133","1","5","0","0","0"
"133","2","10","1","0","1"
"133","3","15","2","0","1"
"133","4","20","3","0","2"
"133","5","25","4","0","2"
"133","6","30","5","0","3"
"133","7","35","6","0","3"
"133","8","40","7","0","4"
"133","9","45","8","0","4"
"133","10","50","9","0","5"
"133","11","55","11","0","5"
"133","12","60","13","0","6"
"133","13","65","15","1","6"
"134","0","0","0","0","0"
"134","1","5","0","0","0"
"134","2","10","1","0","1"
"134","3","15","2","0","1"
"134","4","20","3","0","2"
"134","5","25","4","0","2"
"134","6","30","5","0","3"
"134","7","35","6","0","3"
"134","8","40","7","0","4"
"134","9","45","8","0","4"
"134","10","50","9","0","5"
"134","11","55","11","0","5"
"134","12","60","13","0","6"
"134","13","65","15","0","6"
"134","14","70","17","0","7"
"134","15","75","19","0","7"
"134","16","80","21","1","8"
"135","0","0","0","0","0"
"135","1","5","0","0","0"
"135","2","10","1","0","1"
"135","3","15","2","0","1"
"135","4","20","3","0","2"
"135","5","25","4","0","2"
"135","6","30","5","0","3"
"135","7","35","6","0","3"
"135","8","40","7","0","4"
"135","9","45","8","0","4"
"135","10","50","9","0","5"
"135","11","55","11","1","5"
"136","0","0","0","0","0"
"136","1","5","0","0","0"
